"id","product_id","price","zone_id","created_at","updated_at"
"2240","59","100","1","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2241","59","50","3","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2242","59","33","2","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2243","59","100","4","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2244","70","30.3","1","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2245","70","10","2","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2246","70","15.15","3","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2247","70","30.3","4","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2248","71","30.3","1","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2249","71","10","2","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2250","71","15.15","3","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2251","71","30.3","4","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2252","72","30.3","1","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2253","72","10","2","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2254","72","15.15","3","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2255","72","30.3","4","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2256","80","30.3","1","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2257","80","10","2","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2258","80","15.15","3","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2259","80","30.3","4","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2360","57","303","1","2/12/2024 11:09:49","2/12/2024 11:09:49"
"2361","57","180","2","2/12/2024 11:09:49","2/12/2024 11:09:49"
"2362","57","212","3","2/12/2024 11:09:49","2/12/2024 11:09:49"
"2363","57","303","4","2/12/2024 11:09:49","2/12/2024 11:09:49"
"2364","58","303","1","2/12/2024 11:09:49","2/12/2024 11:09:49"
"2365","58","180","2","2/12/2024 11:09:49","2/12/2024 11:09:49"
"2366","58","212","3","2/12/2024 11:09:49","2/12/2024 11:09:49"
"2367","58","303","4","2/12/2024 11:09:49","2/12/2024 11:09:49"
"2368","69","100","1","2/12/2024 11:09:49","2/12/2024 11:09:49"
"2369","69","100","3","2/12/2024 11:09:49","2/12/2024 11:09:49"
"2370","69","100","2","2/12/2024 11:09:49","2/12/2024 11:09:49"
"2371","69","100","4","2/12/2024 11:09:49","2/12/2024 11:09:49"
"2372","74","150","1","2/12/2024 11:09:49","2/12/2024 11:09:49"
"2373","74","150","2","2/12/2024 11:09:49","2/12/2024 11:09:49"
"2374","74","150","3","2/12/2024 11:09:49","2/12/2024 11:09:49"
"2375","74","150","4","2/12/2024 11:09:49","2/12/2024 11:09:49"
"2376","75","270","1","2/12/2024 11:09:49","2/12/2024 11:09:49"
"2377","75","270","2","2/12/2024 11:09:49","2/12/2024 11:09:49"
"2378","75","270","3","2/12/2024 11:09:49","2/12/2024 11:09:49"
"2379","75","270","4","2/12/2024 11:09:49","2/12/2024 11:09:49"
"2380","78","150","3","2/12/2024 11:09:49","2/12/2024 11:09:49"
"2381","78","150","4","2/12/2024 11:09:49","2/12/2024 11:09:49"
"2382","78","150","1","2/12/2024 11:09:49","2/12/2024 11:09:49"
"2383","78","75","2","2/12/2024 11:09:49","2/12/2024 11:09:49"
"2420","31","151.52","1","5/12/2024 17:23:34","5/12/2024 17:23:34"
"2421","31","151.52","4","5/12/2024 17:23:34","5/12/2024 17:23:34"
"2422","31","75.76","2","5/12/2024 17:23:34","5/12/2024 17:23:34"
"2423","31","75.76","3","5/12/2024 17:23:34","5/12/2024 17:23:34"
"2424","81","100","1","5/12/2024 17:23:34","5/12/2024 17:23:34"
"2425","81","100","3","5/12/2024 17:23:34","5/12/2024 17:23:34"
"2426","81","100","4","5/12/2024 17:23:34","5/12/2024 17:23:34"
"2427","81","70","2","5/12/2024 17:23:34","5/12/2024 17:23:34"
"2428","82","6000","1","5/12/2024 17:23:34","5/12/2024 17:23:34"
"2429","82","6000","2","5/12/2024 17:23:34","5/12/2024 17:23:34"
"2430","82","6000","3","5/12/2024 17:23:34","5/12/2024 17:23:34"
"2431","82","6000","4","5/12/2024 17:23:34","5/12/2024 17:23:34"
"2724","27","80","1","5/3/2025 14:34:20","5/3/2025 14:34:20"
"2725","27","80","3","5/3/2025 14:34:20","5/3/2025 14:34:20"
"2726","27","40","2","5/3/2025 14:34:20","5/3/2025 14:34:20"
"2727","27","80","4","5/3/2025 14:34:20","5/3/2025 14:34:20"
"2728","28","36","1","5/3/2025 14:34:20","5/3/2025 14:34:20"
"2729","28","36","3","5/3/2025 14:34:20","5/3/2025 14:34:20"
"2730","28","36","2","5/3/2025 14:34:20","5/3/2025 14:34:20"
"2731","28","36","4","5/3/2025 14:34:20","5/3/2025 14:34:20"
"2732","46","110","1","5/3/2025 14:34:20","5/3/2025 14:34:20"
"2733","46","55","3","5/3/2025 14:34:20","5/3/2025 14:34:20"
"2734","46","27","2","5/3/2025 14:34:20","5/3/2025 14:34:20"
"2735","46","110","4","5/3/2025 14:34:20","5/3/2025 14:34:20"
"2736","47","15.15","1","5/3/2025 14:34:20","5/3/2025 14:34:20"
"2737","47","7.6","3","5/3/2025 14:34:20","5/3/2025 14:34:20"
"2738","47","3.8","2","5/3/2025 14:34:20","5/3/2025 14:34:20"
"2739","47","15.15","4","5/3/2025 14:34:20","5/3/2025 14:34:20"
"2740","48","15.15","1","5/3/2025 14:34:20","5/3/2025 14:34:20"
"2741","48","7.6","3","5/3/2025 14:34:20","5/3/2025 14:34:20"
"2742","48","3.8","2","5/3/2025 14:34:20","5/3/2025 14:34:20"
"2743","48","15.15","4","5/3/2025 14:34:20","5/3/2025 14:34:20"
"2744","49","15.15","1","5/3/2025 14:34:20","5/3/2025 14:34:20"
"2745","49","10","3","5/3/2025 14:34:20","5/3/2025 14:34:20"
"2746","49","8","2","5/3/2025 14:34:20","5/3/2025 14:34:20"
"2747","49","15.15","4","5/3/2025 14:34:20","5/3/2025 14:34:20"
"2748","76","15.15","1","5/3/2025 14:34:20","5/3/2025 14:34:20"
"2749","76","3.8","2","5/3/2025 14:34:20","5/3/2025 14:34:20"
"2750","76","7.6","3","5/3/2025 14:34:20","5/3/2025 14:34:20"
"2751","76","15.15","4","5/3/2025 14:34:20","5/3/2025 14:34:20"
"2752","77","25","3","5/3/2025 14:34:20","5/3/2025 14:34:20"
"2753","77","50","4","5/3/2025 14:34:20","5/3/2025 14:34:20"
"2754","77","50","1","5/3/2025 14:34:20","5/3/2025 14:34:20"
"2755","77","13","2","5/3/2025 14:34:20","5/3/2025 14:34:20"
"2756","1","151.52","1","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2757","1","37.88","2","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2758","1","370","3","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2759","1","151.52","4","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2760","2","151.52","1","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2761","2","37.88","2","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2762","2","370","3","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2763","2","151.52","4","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2764","3","60.61","1","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2765","3","15.15","2","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2766","3","270","3","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2767","3","60.61","4","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2768","4","60.61","1","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2769","4","15.15","2","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2770","4","270","3","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2771","4","60.61","4","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2772","5","60.61","1","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2773","5","15.15","2","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2774","5","270","3","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2775","5","60.61","4","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2776","6","60.61","1","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2777","6","15.15","2","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2778","6","270","3","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2779","6","60.61","4","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2780","7","60.61","1","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2781","7","15.15","2","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2782","7","270","3","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2783","7","60.61","4","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2784","8","60.61","1","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2785","8","15.15","2","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2786","8","270","3","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2787","8","60.61","4","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2788","9","60.61","1","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2789","9","15.15","2","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2790","9","270","3","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2791","9","60.61","4","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2792","11","60.61","1","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2793","11","15.15","2","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2794","11","270","3","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2795","11","60.61","4","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2796","32","60.61","1","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2797","32","15.15","2","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2798","32","270","3","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2799","32","60.61","4","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2800","33","60.61","1","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2801","33","15.15","2","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2802","33","270","3","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2803","33","60.61","4","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2804","34","60.61","1","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2805","34","15.15","2","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2806","34","270","3","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2807","34","60.61","4","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2808","35","60.61","1","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2809","35","15.15","2","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2810","35","270","3","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2811","35","60.61","4","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2812","37","60.61","1","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2813","37","15.15","2","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2814","37","270","3","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2815","37","60.61","4","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2816","38","60.61","1","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2817","38","15.15","2","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2818","38","270","3","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2819","38","60.61","4","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2820","39","60.61","1","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2821","39","15.15","2","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2822","39","270","3","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2823","39","60.61","4","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2824","40","60.61","1","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2825","40","15.15","2","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2826","40","270","3","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2827","40","60.61","4","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2828","41","60.61","1","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2829","41","15.15","2","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2830","41","270","3","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2831","41","60.61","4","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2832","60","650","1","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2833","60","1200","3","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2834","60","162.5","2","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2835","60","650","4","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2836","61","260","1","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2837","61","890","3","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2838","61","65","2","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2839","61","260","4","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2840","62","260","1","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2841","62","890","3","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2842","62","65","2","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2843","62","260","4","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2844","63","260","1","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2845","63","660","3","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2846","63","65","2","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2847","63","260","4","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2848","64","260","1","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2849","64","660","3","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2850","64","65","2","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2851","64","260","4","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2852","73","60.61","1","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2853","73","15.15","2","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2854","73","270","3","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2855","73","60.61","4","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2856","79","60.61","1","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2857","79","15.15","2","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2858","79","270","3","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2859","79","60.61","4","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2860","83","151.52","1","14/10/2025 14:56:36","14/10/2025 14:56:36"
"2861","83","37.88","2","14/10/2025 14:56:36","14/10/2025 14:56:36"
